location,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz
lat,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876
lon,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172
asl,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365
variable,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,min,W/m²,W/m²,W/m²,mm,cm,%,%,km/h,°
level,2 m elevation corrected,sfc,sfc,sfc,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None
timestamp,Graz Temperature [2 m elevation corrected],Graz Sunshine Duration,Graz Shortwave Radiation,Graz Direct Shortwave Radiation,Graz Diffuse Shortwave Radiation,Graz Precipitation Total,Graz Snowfall Amount,Graz Relative Humidity [2 m],Graz Cloud Cover Total,Graz Wind Speed [10 m],Graz Wind Direction [10 m]
20180102T2200,4.19137,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,20.746122,321.3402
20180102T2300,4.00137,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,20.12461,317.17474
20180103T0000,3.74137,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,17.10284,310.73212
20180103T0100,3.07137,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,14.336861,298.49567
20180103T0200,2.6613698,0.0,0.0,0.0,0.0,0.0,0.0,57.0,39.0,10.948973,260.5377
20180103T0300,1.26137,0.0,0.0,0.0,0.0,0.0,0.0,64.0,100.0,7.2,216.8699
20180103T0400,0.00136986,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,5.3517847,199.65382
20180103T0500,0.22136986,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,6.12,208.0725
20180103T0600,0.35136986,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,3.0547013,225.0
20180103T0700,0.53136986,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,4.1046314,322.12503
20180103T0800,1.1513699,0.0,0.0,0.0,0.0,0.0,0.0,71.0,100.0,5.904439,322.43143
20180103T0900,1.9013699,0.0,0.89,0.16135484,0.72864515,0.0,0.0,64.0,100.0,5.0142193,291.0375
20180103T1000,2.30137,0.0,70.31,37.317684,32.992313,0.0,0.0,64.0,100.0,9.028754,246.50143
20180103T1100,3.28137,14.042552,184.23,101.70338,82.52662,0.0,0.0,63.0,72.0,9.531505,259.11447
20180103T1200,5.10137,56.170216,292.81,166.0903,126.71969,0.0,0.0,56.0,6.0,12.758432,253.61046
20180103T1300,6.29137,38.297874,342.65,197.11801,145.53198,0.0,0.0,50.0,34.0,16.766108,255.06857
20180103T1400,6.32137,25.531916,303.49,174.69987,128.79012,0.0,0.0,49.0,54.0,15.042659,248.9625
20180103T1500,7.23137,54.255318,296.37,168.4236,127.946396,0.0,0.0,48.0,9.0,18.388212,246.9487
20180103T1600,6.18137,0.0,178.0,98.56419,79.43581,0.0,0.0,52.0,100.0,27.475807,275.2624
20180103T1700,5.27137,0.0,20.47,6.342042,14.127957,0.7,0.0,60.0,100.0,26.111792,254.81418
20180103T1800,4.55137,2.2452126,1.78,0.538041,1.241959,0.0,0.0,67.0,85.0,17.193533,250.42688
20180103T1900,3.24137,0.0,0.0,0.0,0.0,0.0,0.0,71.0,6.0,10.233123,219.28941
20180103T2000,4.75137,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,13.32,270.0
20180103T2100,5.55137,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,22.38378,297.80145
20180103T2200,5.5113697,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,26.795223,300.6997
20180103T2300,5.34137,0.0,0.0,0.0,0.0,0.0,0.0,55.0,98.0,30.652895,303.50345
20180104T0000,5.2613697,0.0,0.0,0.0,0.0,0.0,0.0,55.0,67.0,32.151043,304.04593
20180104T0100,5.2813697,0.0,0.0,0.0,0.0,0.0,0.0,56.0,100.0,32.058197,304.93933
20180104T0200,5.04137,0.0,0.0,0.0,0.0,0.0,0.0,57.0,34.0,28.056913,303.48618
20180104T0300,4.9713697,0.0,0.0,0.0,0.0,0.0,0.0,56.0,24.0,21.603,293.5747
20180104T0400,5.66137,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,13.324863,268.45184
20180104T0500,0.54136986,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,8.707237,240.25513
20180104T0600,-0.9986301,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,9.3876505,265.6013
20180104T0700,4.4913697,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,22.406927,293.68207
20180104T0800,4.84137,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,27.459293,304.3151
20180104T0900,4.50137,17.966667,0.89,0.15436691,0.7356331,0.0,0.0,59.0,0.0,23.979893,305.83765
20180104T1000,5.29137,0.0,87.22,46.299725,40.920277,0.0,0.0,59.0,100.0,19.161337,295.60217
20180104T1100,6.63137,0.0,197.58,109.0999,88.4801,0.0,0.0,59.0,100.0,15.273505,278.1301
20180104T1200,7.0113697,0.0,253.65,143.92749,109.72251,0.0,0.0,62.0,100.0,9.19939,239.42078
20180104T1300,6.89137,0.0,269.66998,156.59885,113.07114,0.0,0.0,64.0,100.0,8.647496,182.38594
20180104T1400,6.9713697,0.0,293.69998,169.15773,124.54225,0.0,0.0,55.0,100.0,5.0142193,158.9625
20180104T1500,7.15137,0.0,168.20999,136.52109,31.688902,0.0,0.0,55.0,100.0,2.968636,165.96376
20180104T1600,7.0313697,0.0,97.01,65.955635,31.054365,0.0,0.0,59.0,100.0,2.52,180.0
20180104T1700,6.50137,0.0,58.739998,31.331617,27.40838,0.0,0.0,62.0,100.0,3.6179552,275.7106
20180104T1800,6.0313697,0.0,1.78,0.44648635,1.3335136,0.0,0.0,65.0,100.0,8.311245,287.65012
20180104T1900,5.11137,0.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,13.202726,281.00354
20180104T2000,5.14137,0.0,0.0,0.0,0.0,0.0,0.0,73.0,100.0,11.720751,280.61966
20180104T2100,5.0113697,0.0,0.0,0.0,0.0,0.0,0.0,71.0,96.0,11.525623,271.78992
20180104T2200,4.48137,0.0,0.0,0.0,0.0,0.0,0.0,70.0,17.0,12.324414,263.29016
20180104T2300,4.46137,0.0,0.0,0.0,0.0,0.0,0.0,72.0,9.0,12.57426,256.7595
20180105T0000,5.20137,0.0,0.0,0.0,0.0,0.0,0.0,73.0,68.0,11.090103,256.86597
20180105T0100,5.19137,0.0,0.0,0.0,0.0,0.0,0.0,75.0,42.0,8.049845,259.69516
20180105T0200,4.42137,0.0,0.0,0.0,0.0,0.0,0.0,81.0,13.0,7.2805495,261.46924
20180105T0300,4.45137,0.0,0.0,0.0,0.0,0.0,0.0,84.0,32.0,6.0347,252.64598
20180105T0400,4.63137,0.0,0.0,0.0,0.0,0.0,0.0,85.0,100.0,3.9763298,275.19443
20180105T0500,4.65137,0.0,0.0,0.0,0.0,0.0,0.0,85.0,12.3,3.6,233.1301
20180105T0600,3.6013699,0.0,0.0,0.0,0.0,0.0,0.0,87.0,11.1,5.771239,183.57634
20180105T0700,2.8813698,0.0,0.0,0.0,0.0,0.0,0.0,87.0,26.7,3.96,180.0
20180105T0800,2.81137,0.0,0.0,0.0,0.0,0.0,0.0,83.0,23.7,4.3498964,155.55605
20180105T0900,3.01137,17.185904,0.89,0.14763802,0.74236196,0.0,0.0,80.0,4.5,4.3498964,155.55605
20180105T1000,3.52137,54.44681,89.89,47.72411,42.16589,0.0,0.0,78.0,8.700001,1.8,180.0
20180105T1100,4.73137,42.127663,210.93,116.49991,94.430084,0.0,0.0,80.0,28.0,5.00128,300.25644
20180105T1200,6.41137,0.0,231.4,131.3476,100.05241,0.0,0.0,80.0,100.0,5.00128,300.25644
20180105T1300,7.60137,0.0,173.55,112.35879,61.191216,0.0,0.0,77.0,100.0,1.484318,284.03625
20180105T1400,7.87137,0.0,193.12999,146.65642,46.47357,0.0,0.0,68.0,100.0,1.1384199,341.56506
20180105T1500,8.781369,0.0,194.91,126.98439,67.92561,0.0,0.0,67.0,100.0,0.71999997,360.0
20180105T1600,9.411369,0.0,169.09999,93.775894,75.3241,0.0,0.0,67.0,100.0,1.9386592,111.80141
20180105T1700,9.31137,10.212765,84.549995,45.136345,39.41365,0.0,0.0,68.0,78.0,4.0249224,153.43495
20180105T1800,8.951369,0.0,5.34,2.7655911,2.574409,0.0,0.0,72.0,100.0,3.8939953,123.69006
20180105T1900,8.231369,0.0,0.0,0.0,0.0,0.0,0.0,77.0,69.0,0.0,180.0
20180105T2000,7.73137,0.0,0.0,0.0,0.0,0.0,0.0,76.0,3.0,8.311245,274.96973
20180105T2100,6.89137,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,7.5599995,270.0
20180105T2200,6.64137,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,7.5942073,275.44034
20180105T2300,6.82137,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,12.144331,281.97614
20180106T0000,6.87137,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,11.726277,287.8787
20180106T0100,6.96137,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,11.090103,283.13403
20180106T0200,6.46137,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,9.0,286.2602
20180106T0300,6.21137,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,7.69592,280.7843
20180106T0400,5.79137,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,7.2805495,278.53076
20180106T0500,5.43137,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,6.0347,287.35403
20180106T0600,5.29137,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,5.2416787,285.9454
20180106T0700,4.84137,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.2,4.452954,284.03625
20180106T0800,4.2813697,0.0,0.0,0.0,0.0,0.0,0.0,87.0,3.0,2.8799999,270.0
20180106T0900,3.48137,17.849007,1.78,1.2420517,0.53794825,0.0,0.0,94.0,2.4,2.7416782,246.8014
20180106T1000,3.0913699,59.361702,88.11,46.79341,41.31659,0.0,0.0,96.0,1.0,2.5959969,236.30994
20180106T1100,3.67137,59.234043,200.25,110.646286,89.603714,0.0,0.0,94.0,1.2,3.5455887,246.0375
20180106T1200,5.79137,60.0,292.81,166.2905,126.5195,0.0,0.0,82.0,0.0,5.0911684,225.0
20180106T1300,7.32137,60.0,336.41998,193.8278,142.59218,0.0,0.0,79.0,0.0,5.1165614,219.28941
