location,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz
lat,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876
lon,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172
asl,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365
variable,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,min,W/m²,W/m²,W/m²,mm,cm,%,%,km/h,°
level,2 m elevation corrected,sfc,sfc,sfc,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None
timestamp,Graz Temperature [2 m elevation corrected],Graz Sunshine Duration,Graz Shortwave Radiation,Graz Direct Shortwave Radiation,Graz Diffuse Shortwave Radiation,Graz Precipitation Total,Graz Snowfall Amount,Graz Relative Humidity [2 m],Graz Cloud Cover Total,Graz Wind Speed [10 m],Graz Wind Direction [10 m]
20190705T0200,19.47137,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,4.452954,345.96375
20190705T0300,19.05137,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,4.6800003,337.38013
20190705T0400,18.661371,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,4.39436,325.008
20190705T0500,18.28137,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,4.072935,315.0
20190705T0600,18.03137,52.766666,32.04,16.797935,15.242066,0.0,0.0,74.0,0.0,3.319036,310.60132
20190705T0700,18.88137,53.489365,172.66,94.874435,77.78557,0.0,0.0,75.0,10.200001,1.609969,243.43495
20190705T0800,20.98137,38.297874,325.74,188.67688,137.06311,0.0,0.0,68.0,34.0,3.7064266,209.05461
20190705T0900,22.69137,20.425533,449.44998,273.2831,176.16687,0.0,0.0,61.0,62.0,4.896529,197.10272
20190705T1000,24.14137,55.78723,596.3,378.0326,218.26741,0.0,0.0,58.0,6.6000004,5.1544156,192.09476
20190705T1100,25.411371,26.170214,713.77997,470.35583,243.42413,0.0,0.0,55.0,53.0,3.671294,191.30994
20190705T1200,26.39137,53.61702,768.95996,534.82117,234.13878,0.0,0.0,50.0,10.0,2.7416782,246.8014
20190705T1300,26.991371,53.61702,798.33,569.2367,229.09335,0.0,0.0,46.0,10.0,5.00128,239.74356
20190705T1400,27.831371,24.25532,798.33,570.35474,227.97527,0.0,0.0,43.0,56.0,4.3349743,221.63354
20190705T1500,28.14137,53.61702,778.75,540.467,238.28304,0.0,0.0,41.0,10.0,5.815978,248.1986
20190705T1600,28.26137,53.61702,688.86,470.72375,218.13622,0.0,0.0,40.0,10.0,6.849467,266.9872
20190705T1700,28.161371,53.61702,582.06,380.49493,201.56508,0.0,0.0,40.0,10.0,7.69592,280.7843
20190705T1800,27.97137,53.61702,457.46,279.22232,178.23767,0.0,0.0,39.0,10.0,7.771331,256.6075
20190705T1900,27.59137,53.61702,312.38998,181.72092,130.66907,0.0,0.0,41.0,10.0,6.297428,239.03625
20190705T2000,26.831371,60.0,178.0,98.24585,79.75415,0.0,0.0,44.0,0.0,3.8939953,236.30994
20190705T2100,25.87137,57.616665,39.16,20.57622,18.58378,0.0,0.0,51.0,0.0,3.2399998,270.0
20190705T2200,25.02137,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,4.6938257,327.5288
20190705T2300,23.63137,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,6.439876,333.43497
20190706T0000,22.19137,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,6.489992,326.30994
20190706T0100,21.48137,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,6.3690495,317.29062
20190706T0200,21.13137,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,5.3517847,317.72632
20190706T0300,20.821371,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,5.6233797,320.19443
20190706T0400,20.36137,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,5.6233797,320.19443
20190706T0500,19.98137,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,5.3999996,323.13013
20190706T0600,20.05137,52.0,31.15,16.326344,14.823655,0.0,0.0,56.0,0.0,4.3349743,318.36646
20190706T0700,20.411371,60.0,160.2,87.97661,72.22339,0.0,0.0,60.0,0.0,2.4149535,296.56506
20190706T0800,22.581371,60.0,315.94998,182.91248,133.0375,0.0,0.0,55.0,0.0,3.96,270.0
20190706T0900,24.30137,60.0,470.81,286.14404,184.66594,0.0,0.0,49.0,0.0,4.379589,189.46233
20190706T1000,25.741371,60.0,613.20996,388.6064,224.60355,0.0,0.0,50.0,0.0,6.87779,173.991
20190706T1100,26.98137,60.0,731.58,479.2031,252.37692,0.0,0.0,48.0,0.0,9.0,180.0
20190706T1200,27.78137,53.61702,777.86,536.25635,241.60367,0.0,0.0,46.0,10.0,10.105681,184.08562
20190706T1300,28.651371,60.0,833.93,577.3041,256.6259,0.0,0.0,41.0,0.0,9.114471,189.09027
20190706T1400,29.38137,53.61702,807.23,572.2339,234.99612,0.0,0.0,50.0,10.0,7.92,180.0
20190706T1500,30.151371,53.61702,763.62,536.4704,227.1496,0.0,0.0,41.0,10.0,5.95906,205.01689
20190706T1600,30.48137,60.0,691.52997,470.96973,220.56023,0.0,0.0,37.0,0.0,5.495161,211.6075
20190706T1700,30.45137,60.0,600.75,383.31323,217.43678,0.0,0.0,37.0,0.0,4.39436,214.99202
20190706T1800,30.27137,53.61702,483.27,294.91882,188.35115,0.0,0.0,37.0,10.0,4.39436,235.00798
20190706T1900,29.89137,0.0,315.94998,183.74915,132.20084,0.0,0.0,37.0,100.0,5.00128,239.74356
20190706T2000,29.491371,0.0,152.19,83.97619,68.21381,0.0,0.0,40.0,100.0,2.5455842,225.0
20190706T2100,28.56137,0.0,40.05,21.040573,19.009426,0.0,0.0,46.0,100.0,4.39436,214.99202
20190706T2200,26.96137,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,5.0528407,265.91437
20190706T2300,25.50137,0.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,8.557102,292.24902
20190707T0000,24.72137,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.6,8.435069,309.80557
20190707T0100,24.50137,0.0,0.0,0.0,0.0,0.0,0.0,56.0,100.0,8.707237,330.25513
20190707T0200,24.581371,0.0,0.0,0.0,0.0,0.0,0.0,52.0,100.0,11.91812,334.98312
20190707T0300,23.59137,0.0,0.0,0.0,0.0,0.0,0.0,51.0,100.0,20.570463,327.1443
20190707T0400,21.25137,0.0,0.0,0.0,0.0,0.6,0.0,64.0,100.0,24.567198,325.14557
20190707T0500,20.86137,0.0,0.0,0.0,0.0,1.1,0.0,67.0,100.0,25.683926,328.7608
20190707T0600,20.75137,0.0,16.02,8.823685,7.196316,0.6,0.0,68.0,100.0,10.028439,338.9625
20190707T0700,21.411371,0.0,124.6,68.3864,56.2136,0.0,0.0,64.0,100.0,9.885262,326.88867
20190707T0800,21.84137,0.0,195.8,155.61084,40.18917,0.0,0.0,66.0,100.0,16.323528,311.42368
20190707T0900,22.30137,0.0,302.6,218.32123,84.27878,0.0,0.0,62.0,100.0,19.95972,320.85602
20190707T1000,21.75137,0.0,158.42,6.36969,152.05031,0.0,0.0,60.0,100.0,15.021105,315.971
20190707T1100,20.73137,0.0,103.24,0.7292023,102.510796,0.0,0.0,63.0,100.0,12.074766,333.43497
20190707T1200,20.69137,0.0,105.909996,0.28762054,105.622375,0.0,0.0,65.0,100.0,3.319036,319.3987
20190707T1300,20.12137,0.0,100.57,-0.1319046,100.701904,0.3,0.0,72.0,100.0,6.130579,266.63354
20190707T1400,25.97137,0.0,198.47,5.4570007,193.013,1.4,0.0,49.0,100.0,5.3517847,289.6538
20190707T1500,25.92137,0.0,211.81999,7.4890594,204.33093,1.1,0.0,52.0,100.0,4.6102495,231.3402
20190707T1600,25.47137,0.0,173.55,5.37381,168.1762,1.1,0.0,57.0,100.0,12.904882,329.8586
20190707T1700,22.93137,0.0,121.93,2.8220215,119.10798,0.4,0.0,60.0,100.0,18.03237,333.94653
20190707T1800,22.26137,0.0,186.01,42.124496,143.8855,0.0,0.0,58.0,100.0,12.245293,294.30457
20190707T1900,22.22137,49.787235,129.94,42.06404,87.87596,0.0,0.0,69.0,16.0,7.10031,239.53445
20190707T2000,20.77137,59.04255,185.12,102.11725,83.00275,0.0,0.0,79.0,1.5,5.991594,237.26477
20190707T2100,19.54137,18.095745,43.61,22.90726,20.70274,0.0,0.0,88.0,64.0,6.9153743,218.65982
20190707T2200,18.94137,0.0,0.0,0.0,0.0,0.0,0.0,91.0,100.0,5.6233797,219.80557
20190707T2300,18.68137,0.0,0.0,0.0,0.0,0.0,0.0,93.0,100.0,3.9763298,264.80557
20190708T0000,18.831371,0.0,0.0,0.0,0.0,0.0,0.0,88.0,100.0,5.0142193,291.0375
20190708T0100,19.18137,0.0,0.0,0.0,0.0,0.0,0.0,71.0,100.0,7.5685663,295.3462
20190708T0200,18.651371,0.0,0.0,0.0,0.0,0.0,0.0,73.0,100.0,6.989936,304.50854
20190708T0300,18.151371,0.0,0.0,0.0,0.0,0.0,0.0,75.0,84.0,6.297428,300.96375
20190708T0400,18.01137,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,6.1305785,310.23636
20190708T0500,17.51137,0.0,0.0,0.0,0.0,0.0,0.0,65.0,78.0,6.4096174,308.15723
20190708T0600,17.30137,0.0,18.69,9.789821,8.90018,0.0,0.0,68.0,100.0,4.6102495,321.3402
20190708T0700,17.80137,0.0,91.67,59.105743,32.564255,0.0,0.0,68.0,100.0,1.0182338,315.0
20190708T0800,19.04137,0.0,238.51999,151.71584,86.80415,0.0,0.0,65.0,100.0,2.52,360.0
20190708T0900,20.42137,38.93617,438.77,266.4342,172.33578,0.0,0.0,60.0,33.0,1.1384199,71.56504
20190708T1000,21.53137,58.723404,606.08997,383.80377,222.28621,0.0,0.0,57.0,2.0,4.510787,151.38954
20190708T1100,20.84137,9.574467,317.72998,76.178696,241.55128,0.1,0.0,60.0,79.0,10.105681,184.08562
20190708T1200,20.92137,8.297872,295.47998,26.066559,269.41342,0.2,0.0,61.0,81.0,10.8955765,187.59465
20190708T1300,20.63137,0.0,335.53,42.06601,293.464,0.2,0.0,63.0,100.0,8.287822,182.48955
20190708T1400,20.581371,0.0,243.86,9.991196,233.8688,0.2,0.0,64.0,100.0,5.1544156,192.09476
20190708T1500,20.51137,0.0,226.06,9.009766,217.05023,0.2,0.0,64.0,100.0,4.0249224,206.56505
20190708T1600,20.42137,0.0,210.93,9.298965,201.63103,0.2,0.0,64.0,100.0,5.4833565,246.8014
20190708T1700,21.241371,0.0,406.72998,269.63116,137.09882,0.0,0.0,61.0,100.0,4.3349743,265.23636
20190708T1800,21.46137,10.212765,441.44,273.93237,167.50763,0.0,0.0,62.0,78.0,4.1046314,254.74487
20190708T1900,20.85137,0.0,115.7,27.66967,88.03033,0.2,0.0,64.0,100.0,5.00128,239.74356
20190708T2000,20.52137,0.0,48.059998,10.419762,37.640236,0.2,0.0,65.0,100.0,3.0758414,249.44395
20190708T2100,20.14137,0.0,12.46,8.295434,4.164566,0.2,0.0,72.0,100.0,2.968636,345.96375
20190708T2200,19.38137,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,4.896529,342.89728
20190708T2300,18.06137,0.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,11.043261,340.9744
20190709T0000,16.85137,0.0,0.0,0.0,0.0,0.0,0.0,68.0,21.0,12.641076,340.0169
20190709T0100,15.861369,0.0,0.0,0.0,0.0,0.0,0.0,67.0,100.0,15.175612,337.6938
20190709T0200,15.521369,0.0,0.0,0.0,0.0,0.0,0.0,67.0,100.0,13.202726,334.13367
20190709T0300,14.831369,0.0,0.0,0.0,0.0,0.0,0.0,68.0,100.0,12.24,331.92752
20190709T0400,13.93137,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1.5,10.144082,332.52557
20190709T0500,13.361369,0.0,0.0,0.0,0.0,0.0,0.0,70.0,7.0,8.942214,319.8991
20190709T0600,13.491369,49.032627,30.26,15.845329,14.414671,0.0,0.0,70.0,1.2,6.1305785,310.23636
20190709T0700,14.741369,59.234043,171.77,94.16552,77.604485,0.0,0.0,65.0,1.2,4.802999,282.99463
20190709T0800,15.941369,53.61702,326.63,188.80391,137.8261,0.0,0.0,59.0,10.0,10.514218,308.04706
20190709T0900,16.80137,58.659573,461.91,280.36047,181.54951,0.0,0.0,52.0,2.1000001,18.899143,319.63547
20190709T1000,17.831371,58.659573,623.0,394.36218,228.63783,0.0,0.0,48.0,2.1000001,20.674156,324.92627
20190709T1100,18.85137,59.425533,738.7,483.404,255.296,0.0,0.0,42.0,0.90000004,20.969807,325.4915
20190709T1200,19.97137,59.808514,817.91,547.73804,270.17194,0.0,0.0,40.0,0.3,19.171478,325.71313
20190709T1300,20.98137,53.61702,864.19,585.7553,278.4347,0.0,0.0,38.0,10.0,15.077082,326.6894
20190709T1400,19.97137,25.531916,546.45996,302.43204,244.02792,0.1,0.0,67.0,54.0,8.4042845,99.86581
20190709T1500,19.73137,21.063831,387.15,108.04086,279.10913,0.1,0.0,67.0,61.0,6.489992,86.82017
20190709T1600,20.401371,28.723406,536.67,404.6871,131.98288,0.0,0.0,64.0,49.0,3.8939953,56.30993
20190709T1700,20.73137,53.61702,542.01,370.56763,171.4424,0.0,0.0,62.0,10.0,2.5455842,8.130096
20190709T1800,20.77137,53.61702,454.78998,277.37634,177.41365,0.0,0.0,61.0,10.0,3.2399998,360.0
20190709T1900,20.46137,26.170214,293.69998,170.68988,123.0101,0.0,0.0,61.0,53.0,1.484318,284.03625
20190709T2000,20.09137,56.93617,130.83,72.12811,58.70189,0.0,0.0,61.0,4.8,2.6208394,254.0546
20190709T2100,19.43137,36.210636,43.61,22.900011,20.70999,0.0,0.0,65.0,33.0,5.0911684,278.1301
20190709T2200,18.70137,0.0,0.0,0.0,0.0,0.0,0.0,54.0,100.0,9.178235,348.69006
20190709T2300,17.741371,0.0,0.0,0.0,0.0,0.0,0.0,56.0,100.0,11.5199995,360.0
20190710T0000,17.00137,0.0,0.0,0.0,0.0,0.0,0.0,56.0,100.0,9.885262,349.50854
20190710T0100,16.59137,0.0,0.0,0.0,0.0,0.0,0.0,58.0,100.0,10.239453,349.87534
20190710T0200,15.92137,0.0,0.0,0.0,0.0,0.0,0.0,59.0,100.0,12.074766,349.69516
20190710T0300,14.651369,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,10.308831,347.90524
20190710T0400,13.38137,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,10.182337,351.8699
20190710T0500,12.80137,0.0,0.0,0.0,0.0,0.0,0.0,70.0,9.0,10.08,360.0
20190710T0600,13.13137,0.0,26.699999,13.976562,12.723437,0.0,0.0,70.0,100.0,8.311245,4.9697266
20190710T0700,14.22137,60.0,160.2,87.7673,72.43269,0.0,0.0,67.0,0.0,11.659777,8.880646
20190710T0800,15.411369,53.61702,314.16998,181.50018,132.6698,0.0,0.0,56.0,10.0,16.171976,16.821411
20190710T0900,16.36137,60.0,474.37,287.78345,186.58655,0.0,0.0,51.0,0.0,16.93531,2.4366455
20190710T1000,17.23137,7.6595736,592.74,375.05084,217.68915,0.0,0.0,47.0,82.0,17.64,360.0
20190710T1100,17.911371,51.70213,734.25,480.32028,253.92972,0.0,0.0,45.0,13.0,17.771753,353.01892
20190710T1200,18.45137,53.61702,819.69,548.76135,270.92862,0.0,0.0,42.0,10.0,20.523157,344.74487
20190710T1300,19.11137,60.0,871.31,590.4221,280.88785,0.0,0.0,41.0,0.0,22.26477,345.96375
20190710T1400,20.89137,60.0,874.87,593.2162,281.65378,0.0,0.0,39.0,0.0,17.581125,349.38034
20190710T1500,21.38137,60.0,827.7,555.1815,272.51852,0.0,0.0,39.0,0.0,16.343367,352.40536
20190710T1600,21.55137,53.61702,716.45,474.38562,242.0644,0.0,0.0,39.0,10.0,17.026896,346.5514
20190710T1700,21.31137,53.61702,611.43,388.48627,222.94374,0.0,0.0,40.0,10.0,17.935081,349.5923
20190710T1800,21.10137,53.61702,482.38,294.11304,188.26695,0.0,0.0,41.0,10.0,16.454008,349.9194
20190710T1900,20.63137,53.61702,327.52,190.27501,137.24498,0.0,0.0,43.0,10.0,14.494192,345.61862
20190710T2000,19.69137,60.0,173.55,95.63735,77.91265,0.0,0.0,46.0,0.0,11.874544,345.96375
20190710T2100,18.37137,55.133335,38.27,20.091076,18.178925,0.0,0.0,50.0,0.0,9.178235,348.69006
20190710T2200,17.331371,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,7.289444,339.77515
20190710T2300,16.45137,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,6.489992,326.30994
20190711T0000,15.441369,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.1305785,319.76367
20190711T0100,14.581369,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,5.904439,307.5686
20190711T0200,13.981369,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,5.991594,302.73523
20190711T0300,13.35137,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,6.6087217,299.35776
20190711T0400,12.7113695,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1.5,6.297428,300.96375
20190711T0500,12.271369,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.1000001,6.489992,303.69006
20190711T0600,12.321369,47.916668,25.81,13.505778,12.304221,0.0,0.0,70.0,0.0,6.193674,305.5377
20190711T0700,13.92137,0.0,165.54,90.630516,74.90948,0.0,0.0,68.0,96.0,5.0142193,291.0375
20190711T0800,16.04137,58.723404,320.4,184.98795,135.41205,0.0,0.0,63.0,2.0,5.8603754,280.61966
20190711T0900,18.071371,59.808514,476.15,288.71326,187.43674,0.0,0.0,58.0,0.3,7.4128532,299.0546
20190711T1000,19.95137,53.61702,607.87,384.45312,223.41687,0.0,0.0,50.0,10.0,7.928177,309.47247
20190711T1100,20.50137,0.0,631.89996,447.6314,184.26857,0.0,0.0,43.0,100.0,9.885262,303.11136
20190711T1200,21.56137,0.0,650.58997,495.83167,154.75829,0.0,0.0,40.0,100.0,10.464797,296.56506
20190711T1300,22.401371,8.93617,777.86,560.6106,217.24939,0.0,0.0,39.0,80.0,12.24,298.07248
20190711T1400,23.28137,44.04255,656.82,513.38074,143.43929,0.0,0.0,40.0,25.0,6.489992,250.55997
20190711T1500,23.76137,28.085108,785.87,539.436,246.43404,0.0,0.0,38.0,50.0,5.8048253,277.125
20190711T1600,24.09137,27.446808,715.56,473.65216,241.90785,0.0,0.0,37.0,51.0,5.95906,295.0169
20190711T1700,24.09137,0.0,591.85,379.68777,212.1622,0.0,0.0,37.0,100.0,5.991594,302.73523
20190711T1800,23.78137,0.0,388.04,261.9069,126.13312,0.0,0.0,39.0,100.0,5.0528407,274.08563
20190711T1900,23.45137,0.0,248.31,159.40947,88.90053,0.0,0.0,40.0,100.0,5.771239,266.42368
20190711T2000,22.81137,0.0,120.15,68.66994,51.480064,0.0,0.0,43.0,100.0,6.379216,286.38956
20190711T2100,22.11137,0.0,13.349999,10.652452,2.6975472,0.1,0.0,48.0,100.0,6.696387,306.25385
20190711T2200,21.06137,0.0,0.0,0.0,0.0,0.0,0.0,56.0,100.0,8.707238,352.875
20190711T2300,20.06137,0.0,0.0,0.0,0.0,0.0,0.0,58.0,100.0,9.605998,12.994629
20190712T0000,19.34137,0.0,0.0,0.0,0.0,0.0,0.0,59.0,100.0,8.089993,339.14557
20190712T0100,18.38137,0.0,0.0,0.0,0.0,0.0,0.0,62.0,100.0,8.714677,308.29016
20190712T0200,17.651371,0.0,0.0,0.0,0.0,0.0,0.0,61.0,100.0,9.957108,310.60132
20190712T0300,16.44137,0.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,10.464797,310.8151
20190712T0400,15.731369,0.0,0.0,0.0,0.0,0.1,0.0,78.0,100.0,10.182337,315.0
20190712T0500,15.371369,0.0,0.0,0.0,0.0,0.1,0.0,80.0,100.0,5.8603754,312.51044
20190712T0600,15.611369,0.0,16.02,8.379852,7.6401477,0.0,0.0,79.0,100.0,5.6920996,288.43497
20190712T0700,16.53137,0.0,115.7,63.30028,52.399715,0.0,0.0,75.0,100.0,3.5455887,293.9625
20190712T0800,17.47137,0.0,173.55,119.87009,53.67992,0.1,0.0,69.0,100.0,3.6,270.0
20190712T0900,18.44137,0.0,339.09,239.79149,99.29851,0.0,0.0,67.0,100.0,4.3349743,274.76364
20190712T1000,18.581371,0.0,337.31,168.36877,168.94122,0.0,0.0,68.0,100.0,9.178235,205.55997
20190712T1100,18.26137,0.0,218.94,0.727417,218.21259,0.0,0.0,72.0,100.0,11.753877,207.34988
20190712T1200,18.86137,0.0,275.01,13.254669,261.75534,0.0,0.0,70.0,100.0,9.793059,216.02737
20190712T1300,20.05137,0.0,602.52997,407.90253,194.62746,0.0,0.0,64.0,100.0,5.8603754,259.38034
20190712T1400,21.92137,53.61702,472.59,192.24316,280.34683,0.0,0.0,53.0,10.0,6.297428,239.03625
20190712T1500,22.821371,53.61702,683.52,510.5922,172.92783,0.0,0.0,51.0,10.0,8.287822,235.61966
20190712T1600,22.831371,53.61702,687.08,467.3975,219.68253,0.0,0.0,51.0,10.0,7.24486,243.43495
20190712T1700,22.77137,53.61702,582.06,377.4643,204.59572,0.0,0.0,51.0,10.0,4.802999,257.00537
20190712T1800,22.61137,53.61702,453.00998,276.02975,176.98022,0.0,0.0,51.0,10.0,3.8939953,236.30994
20190712T1900,22.29137,53.61702,314.16998,182.38235,131.78763,0.0,0.0,51.0,10.0,5.3517847,222.27368
20190712T2000,21.80137,0.6382978,158.42,87.221565,71.19843,0.0,0.0,52.0,93.0,4.8433046,228.01279
20190712T2100,21.52137,0.0,32.04,16.8123,15.227701,0.0,0.0,53.0,100.0,4.1046314,285.25513
20190712T2200,20.68137,0.0,0.0,0.0,0.0,0.0,0.0,59.0,100.0,5.8048253,330.25513
20190712T2300,19.991371,0.0,0.0,0.0,0.0,0.0,0.0,56.0,100.0,5.315336,331.69925
20190713T0000,18.071371,0.0,0.0,0.0,0.0,0.1,0.0,67.0,100.0,9.0,343.7398
20190713T0100,16.81137,0.0,0.0,0.0,0.0,0.6,0.0,72.0,100.0,15.379206,343.68616
20190713T0200,15.861369,0.0,0.0,0.0,0.0,0.5,0.0,74.0,100.0,15.517629,3.9909058
20190713T0300,15.64137,0.0,0.0,0.0,0.0,0.3,0.0,77.0,76.0,7.072878,14.743561
20190713T0400,15.60137,0.0,0.0,0.0,0.0,0.4,0.0,78.0,100.0,1.9386592,338.1986
20190713T0500,15.231369,0.0,0.0,0.0,0.0,0.2,0.0,83.0,100.0,5.0911684,261.8699
20190713T0600,14.371369,0.0,1.78,0.019427776,1.7605722,2.6,0.0,89.0,100.0,5.95906,295.0169
20190713T0700,15.10137,0.0,48.95,18.490862,30.459139,0.3,0.0,85.0,100.0,4.0249224,333.43497
20190713T0800,16.651371,35.106384,257.21,150.42212,106.78787,0.0,0.0,80.0,39.0,5.5887027,284.93143
20190713T0900,17.52137,0.0,309.72,241.95453,67.765465,0.1,0.0,76.0,100.0,8.759178,279.46234
20190713T1000,18.69137,0.0,202.03,19.074738,182.95526,0.1,0.0,66.0,100.0,12.594856,300.96375
20190713T1100,19.59137,0.0,286.58,49.164276,237.41571,0.0,0.0,55.0,100.0,17.826363,316.6366
20190713T1200,19.70137,0.0,363.12,87.711914,275.40808,0.0,0.0,55.0,100.0,19.95972,320.85602
20190713T1300,19.651371,0.0,275.9,2.2129822,273.687,0.3,0.0,57.0,100.0,18.388212,336.94873
20190713T1400,21.081371,25.531916,651.48,504.361,147.11899,0.0,0.0,45.0,54.0,24.27265,305.34012
20190713T1500,20.42137,0.0,669.27997,505.23578,164.04417,0.0,0.0,47.0,100.0,25.582806,309.28943
20190713T1600,20.47137,0.0,378.25,142.93863,235.31137,0.0,0.0,52.0,100.0,22.493519,320.19443
20190713T1700,20.01137,0.0,299.04,106.93121,192.1088,0.0,0.0,54.0,100.0,20.570463,327.1443
20190713T1800,20.00137,0.0,227.84,91.246506,136.59349,0.0,0.0,52.0,100.0,22.473343,324.7824
20190713T1900,19.53137,0.0,222.5,151.85562,70.64439,0.0,0.0,55.0,100.0,20.380579,324.34467
20190713T2000,18.69137,0.0,65.86,32.954483,32.905518,0.0,0.0,60.0,100.0,17.873556,332.4027
20190713T2100,17.34137,0.0,6.23,1.0852761,5.144724,0.2,0.0,68.0,100.0,13.551501,309.61072
20190713T2200,16.991371,0.0,0.0,0.0,0.0,0.0,0.0,62.0,100.0,12.594856,329.03625
20190713T2300,16.76137,0.0,0.0,0.0,0.0,0.0,0.0,64.0,100.0,11.119281,330.94543
20190714T0000,16.14137,0.0,0.0,0.0,0.0,0.0,0.0,67.0,100.0,8.78872,325.008
20190714T0100,16.18137,0.0,0.0,0.0,0.0,0.0,0.0,67.0,100.0,7.386582,316.97495
20190714T0200,16.28137,0.0,0.0,0.0,0.0,0.0,0.0,67.0,100.0,7.145796,319.08563
20190714T0300,16.26137,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,8.435069,320.19443
20190714T0400,16.56137,0.0,0.0,0.0,0.0,0.0,0.0,63.0,100.0,11.4862,327.80426
20190714T0500,16.38137,0.0,0.0,0.0,0.0,0.0,0.0,62.0,100.0,15.0038395,329.7436
20190714T0600,16.37137,0.0,11.57,6.9903054,4.5796943,0.0,0.0,63.0,100.0,13.049689,335.55603
20190714T0700,17.35137,0.0,97.01,56.159077,40.850925,0.0,0.0,63.0,100.0,11.966953,353.08878
20190714T0800,18.96137,0.0,249.2,148.51802,100.68198,0.0,0.0,59.0,100.0,14.404499,358.56793
20190714T0900,18.96137,13.404254,160.2,27.391113,132.80888,0.2,0.0,59.0,73.0,12.074766,10.30484
20190714T1000,19.73137,17.234043,266.11,77.20291,188.90707,0.2,0.0,55.0,67.0,11.043261,19.025604
20190714T1100,20.241371,20.425533,405.84,189.97174,215.86826,0.2,0.0,53.0,62.0,10.308831,12.094757
20190714T1200,21.26137,0.0,631.01,486.8274,144.18262,0.0,0.0,50.0,100.0,10.799999,360.0
20190714T1300,20.94137,60.0,720.01,541.0487,178.9613,0.0,0.0,49.0,0.0,12.181625,341.0296
20190714T1400,23.491371,60.0,858.85,581.73596,277.11398,0.0,0.0,41.0,0.0,18.11841,339.04425
20190714T1500,23.64137,60.0,818.8,548.6527,270.14725,0.0,0.0,41.0,0.0,17.902534,344.84595
20190714T1600,23.53137,59.361702,738.7,484.22626,254.47375,0.0,0.0,41.0,1.0,15.683776,350.7539
20190714T1700,23.401371,58.723404,621.22,394.26318,226.95677,0.0,0.0,42.0,2.0,14.205182,351.25385
20190714T1800,22.991371,54.255318,485.94,295.9051,190.03491,0.0,0.0,43.0,9.0,14.4,360.0
20190714T1900,22.23137,60.0,330.19,191.53815,138.65186,0.0,0.0,46.0,0.0,13.324863,1.5481567
20190714T2000,21.05137,60.0,170.88,93.997314,76.88269,0.0,0.0,50.0,0.0,10.464798,3.9451752
20190714T2100,19.46137,52.5,32.93,17.270874,15.659127,0.0,0.0,56.0,0.0,10.182337,8.130096
20190714T2200,17.95137,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,9.746631,4.236374
20190714T2300,16.62137,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,8.707238,352.875
